AOA,CL Open,CL open Max,CL open min,CL open mean ,CL Closed,CL Closed max,Cl closed min ,Cl closed mean ,tPA_closed,tPA_open
0.51312,-0.051016,0.061355,-0.073243,-0.015365433,-0.0017303,0.040699,-0.033892,-8.48588E-06,6.2961,6.2961
0.51343,-0.051018,0.061355,-0.073243,-0.015365433,-0.0017058,0.040699,-0.033892,-8.48588E-06,6.2971,6.2971
0.51374,-0.051019,0.061355,-0.073243,-0.015365433,-0.001681,0.040699,-0.033892,-8.48588E-06,6.2981,6.2981
0.5141,-0.051021,0.061355,-0.073243,-0.015365433,-0.0016561,0.040699,-0.033892,-8.48588E-06,6.2991,6.2991
0.51446,-0.051023,0.061355,-0.073243,-0.015365433,-0.001631,0.040699,-0.033892,-8.48588E-06,6.3001,6.3001
0.51477,-0.051026,0.061355,-0.073243,-0.015365433,-0.0016057,0.040699,-0.033892,-8.48588E-06,6.3011,6.3011
0.5151,-0.051028,0.061355,-0.073243,-0.015365433,-0.0015803,0.040699,-0.033892,-8.48588E-06,6.3021,6.3021
0.51541,-0.051031,0.061355,-0.073243,-0.015365433,-0.0015548,0.040699,-0.033892,-8.48588E-06,6.3031,6.3031
0.51575,-0.051034,0.061355,-0.073243,-0.015365433,-0.0015291,0.040699,-0.033892,-8.48588E-06,6.3041,6.3041
0.51608,-0.051037,0.061355,-0.073243,-0.015365433,-0.0015032,0.040699,-0.033892,-8.48588E-06,6.3051,6.3051
0.51642,-0.051041,0.061355,-0.073243,-0.015365433,-0.0014773,0.040699,-0.033892,-8.48588E-06,6.3061,6.3061
0.51675,-0.051044,0.061355,-0.073243,-0.015365433,-0.0014512,0.040699,-0.033892,-8.48588E-06,6.3071,6.3071
0.51707,-0.051048,0.061355,-0.073243,-0.015365433,-0.001425,0.040699,-0.033892,-8.48588E-06,6.3081,6.3081
0.51738,-0.051052,0.061355,-0.073243,-0.015365433,-0.0013987,0.040699,-0.033892,-8.48588E-06,6.3091,6.3091
0.51764,-0.051056,0.061355,-0.073243,-0.015365433,-0.0013723,0.040699,-0.033892,-8.48588E-06,6.3101,6.3101
0.51798,-0.051061,0.061355,-0.073243,-0.015365433,-0.0013458,0.040699,-0.033892,-8.48588E-06,6.3111,6.3111
0.51831,-0.051065,0.061355,-0.073243,-0.015365433,-0.0013193,0.040699,-0.033892,-8.48588E-06,6.3121,6.3121
0.51862,-0.05107,0.061355,-0.073243,-0.015365433,-0.0012927,0.040699,-0.033892,-8.48588E-06,6.3131,6.3131
0.51898,-0.051075,0.061355,-0.073243,-0.015365433,-0.0012662,0.040699,-0.033892,-8.48588E-06,6.3141,6.3141
0.51929,-0.05108,0.061355,-0.073243,-0.015365433,-0.0012396,0.040699,-0.033892,-8.48588E-06,6.3151,6.3151
0.51958,-0.051086,0.061355,-0.073243,-0.015365433,-0.0012131,0.040699,-0.033892,-8.48588E-06,6.3161,6.3161
0.51989,-0.051092,0.061355,-0.073243,-0.015365433,-0.0011866,0.040699,-0.033892,-8.48588E-06,6.3171,6.3171
0.52015,-0.051097,0.061355,-0.073243,-0.015365433,-0.0011602,0.040699,-0.033892,-8.48588E-06,6.3181,6.3181
0.52046,-0.051104,0.061355,-0.073243,-0.015365433,-0.001134,0.040699,-0.033892,-8.48588E-06,6.3191,6.3191
